"date","obs_gdp","obs_hours","obs_wages","obs_gdpdeflator","obs_corepce","obs_nominalrate","obs_consumption","obs_investment","obs_BBBspread","obs_longinflation","obs_longrate","obs_tfp","obs_gdi","obs_AAAspread","obs_nominalrate1","obs_nominalrate2","obs_nominalrate3","obs_nominalrate4","obs_nominalrate5","obs_nominalrate6"
"1968-12-31",0.012190694273606084,-43.365387225775365,0.5863273407899161,1.3874492972250962,1.1591499104947722,1.48,-0.2814228986862455,2.652454656701031,0.3500000000000001,NaN,NaN,-0.7211501412792193,0.17971542599484192,0.15250000000000008,NaN,NaN,NaN,NaN,NaN,NaN
"1969-03-31",1.10913981992935,-42.96044018934069,0.3456475253604374,1.0022302961889995,1.104678452655783,1.6425,0.6319669713681808,2.3994983584788465,0.3174999999999999,NaN,NaN,-0.5410030824556897,0.5140435630023088,0.14749999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1969-06-30",-0.1927890230019269,-42.867416514439505,0.2906427785984045,1.3131336609317756,1.1966927021731522,2.0825,0.13346657667450135,-0.18440761124777216,0.36250000000000004,NaN,NaN,-0.7360610087969116,0.17344589369281405,0.1875,NaN,NaN,NaN,NaN,NaN,NaN
"1969-09-30",0.11573346298603404,-42.91545789704507,0.3588340666048073,1.41519406157129,1.1557183162913987,2.245,-0.19623060474487364,0.4567344952302044,0.39250000000000007,NaN,NaN,-0.4498291247389406,0.23612549530507287,0.1775,NaN,NaN,NaN,NaN,NaN,NaN
"1969-12-31",-0.8987326319865652,-42.87330987454396,0.6770930434364497,1.2418564310178404,1.1734511039449114,2.235,0.21147391072680044,-2.6986138276351657,0.4149999999999998,NaN,NaN,-1.3684029943855274,-0.6387802213143612,0.18999999999999995,NaN,NaN,NaN,NaN,NaN,NaN
"1970-03-31",-0.6539761019832779,-43.654505054244375,0.41930679412451877,1.3694231290725778,1.0811866407623771,2.14,-0.10617516994795295,-1.5753008122575296,0.49750000000000005,NaN,NaN,-1.18626013724267,-1.188207513606887,0.28,NaN,NaN,NaN,NaN,NaN,NaN
"1970-06-30",-0.3881178656794271,-45.16205582488464,0.1453828244312172,1.4344780442048233,1.1258296305893367,1.97,-0.3986820547679626,-1.8914184257279643,0.4600000000000002,NaN,NaN,0.1508702872255366,-0.5703736160170836,0.2500000000000002,NaN,NaN,NaN,NaN,NaN,NaN
"1970-09-30",0.3642026597990622,-45.98448220132525,0.8169886177416097,0.8142939662227455,1.1090209952667074,1.6775,0.5098295536923203,0.09135807310919342,0.6125,NaN,NaN,1.2072083153945505,0.2993447259236115,0.31500000000000017,NaN,NaN,NaN,NaN,NaN,NaN
"1970-12-31",-1.5547329070745075,-46.75621746527714,-0.3050401428258187,1.2952595042147852,1.3923899445269505,1.3925,-0.8114843789226889,-0.7106576747603177,0.6749999999999998,NaN,NaN,-1.8898315658140987,-1.4609583298687445,0.3325,NaN,NaN,NaN,NaN,NaN,NaN
"1971-03-31",2.096041031414897,-47.476223356781766,0.5235975882627142,1.5163778586205545,1.2609345375398817,0.965,0.7747240613826811,1.6788142358186153,0.6099999999999999,NaN,NaN,2.9101684341859015,1.4254004893090366,0.2825,NaN,NaN,NaN,NaN,NaN,NaN
"1971-06-30",0.0019213306997389878,-47.44259289113195,0.12521393448443607,1.330714040057801,1.1341650611149223,1.1425,0.17304279040442072,3.2365357630801506,0.5949999999999998,NaN,NaN,-0.24330738560850587,0.0850119327755916,0.30999999999999983,NaN,NaN,NaN,NaN,NaN,NaN
"1971-09-30",0.23083135675501243,-47.57323089721073,0.36746688535926886,1.0031092832128774,0.9422051596386538,1.37,0.21444039757403388,1.2985463967943534,0.6174999999999997,NaN,1.55926818175,0.8617650781596102,0.31877200078573864,0.3324999999999998,NaN,NaN,NaN,NaN,NaN,NaN
"1971-12-31",-0.25617397335533365,-46.68671363559831,-0.14246792008203446,0.8207754724468774,0.5691997803962234,1.1875,0.88976055614165,2.105469979609065,0.6200000000000001,NaN,1.49589918025,-0.47519144357952037,0.7150851913654721,0.3425,NaN,NaN,NaN,NaN,NaN,NaN
"1972-03-31",1.1372290490422987,-46.02537310325907,1.0297761861195798,1.617571480597535,0.9602655995510467,0.8875,0.17618153615499565,3.212919151448368,0.5475000000000001,NaN,1.52779603175,0.8762578317827985,0.7972180780116744,0.2975000000000001,NaN,NaN,NaN,NaN,NaN,NaN
"1972-06-30",1.7414118383016763,-45.77139633946743,0.5708068018893231,0.600408790961815,0.6763136809790904,1.075,1.3106635699659641,1.2446743375117086,0.5350000000000001,NaN,1.54726601575,1.9161129042465668,0.727515848326421,0.30000000000000004,NaN,NaN,NaN,NaN,NaN,NaN
"1972-09-30",0.4121093968616929,-45.89965025498142,0.44680523406238626,0.8799704797258112,0.7509720402685716,1.185,0.9727519829403564,0.6822292075425618,0.5425,NaN,1.56379920625,0.5393013100436681,1.109261006712825,0.3025,NaN,NaN,NaN,NaN,NaN,NaN
"1972-12-31",1.2345847671744625,-45.51553131106196,0.7408849476135737,1.1206928500083535,0.6274313738830806,1.2875,1.4662769779081541,3.9950421603956396,0.5175000000000001,NaN,1.56563041675,1.9849534839567118,2.119862736136646,0.30499999999999994,NaN,NaN,NaN,NaN,NaN,NaN
"1973-03-31",1.763824442452222,-45.060076842784014,1.3112336194839536,1.2755973721819025,0.6977684131943107,1.635,1.1824205595195814,3.0478347386130142,0.27749999999999986,NaN,1.6124346775,1.7965476868552623,1.1042088694049657,0.08999999999999986,NaN,NaN,NaN,NaN,NaN,NaN
"1973-06-30",0.46224553482235864,-44.47525904508485,-0.2406606308906878,1.627431699394144,1.3579785001351041,1.955,-0.3051132143588209,0.336047223458924,0.28,NaN,1.64594920625,-0.5802639073476363,-0.11552164165653522,0.08499999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1973-09-30",-1.051553118093207,-44.39225772030486,-0.13388847778571522,1.853273439093206,1.3245733817399241,2.64,-0.22350474687833355,-0.573588061699104,0.2725000000000002,NaN,1.7483170635,-2.0150465160432884,-0.17635283118542233,0.05249999999999999,NaN,NaN,NaN,NaN,NaN,NaN
