"date","obs_gdp","obs_hours","obs_wages","obs_gdpdeflator","obs_corepce","obs_nominalrate","obs_consumption","obs_investment","obs_BBBspread","obs_longinflation","obs_longrate","obs_tfp","obs_gdi","obs_AAAspread","obs_nominalrate1","obs_nominalrate2","obs_nominalrate3","obs_nominalrate4","obs_nominalrate5","obs_nominalrate6"
"1967-06-30",-0.401705817548903,-43.58987967567144,1.0187752847744203,0.5951641547659037,0.6636644635533262,0.9975,0.8289644498895132,1.9211501033315592,0.28500000000000014,NaN,NaN,0.20453526359618227,0.061536748852963896,0.10499999999999998,NaN,NaN,NaN,NaN,NaN,NaN
"1967-09-30",0.512957690778526,-43.03567475203114,0.4518889569300355,0.893697094609136,0.8992910553234701,0.9725,0.1195242109435668,0.5307382965546337,0.3075000000000001,NaN,NaN,-0.31412145282172826,0.6969996124656985,0.13000000000000012,NaN,NaN,NaN,NaN,NaN,NaN
"1967-12-31",0.3931277728412619,-42.77896568073709,0.25631793622802324,1.0898473117669116,0.9978908225558136,1.0425,-0.046874225937654224,2.6386587944710715,0.29499999999999993,NaN,NaN,-0.011882646851578976,0.5964932983133497,0.12250000000000005,NaN,NaN,NaN,NaN,NaN,NaN
"1968-03-31",1.6040031692512446,-43.6161022437551,1.5691824218879935,1.08793477367648,1.1222273103840497,1.1975,1.9002435431314302,1.7610255783294004,0.345,NaN,NaN,1.928415860611108,1.0891046566236406,0.16999999999999993,NaN,NaN,NaN,NaN,NaN,NaN
"1968-06-30",1.1824034186032506,-42.92611209863848,0.5020114704600509,1.1102801687140396,1.1523937054766176,1.495,0.9779110712149874,-0.8420955798210117,0.38749999999999996,NaN,NaN,0.857520338223048,1.0232824977224109,0.19500000000000006,NaN,NaN,NaN,NaN,NaN,NaN
"1968-09-30",0.29954932538873713,-43.169144381428886,0.6630175394770732,0.9584737912987418,1.1111748587840697,1.4875,1.4820233382186077,0.7463547976885421,0.3975000000000002,NaN,NaN,-0.0006784902802322155,0.878209104245431,0.20250000000000012,NaN,NaN,NaN,NaN,NaN,NaN
"1968-12-31",0.010244734401698707,-43.365387225885705,0.5839484259769656,1.3874492972250962,1.1591499104947722,1.48,-0.28142289869204085,2.618122691119995,0.3500000000000001,NaN,NaN,-0.7543549608684676,0.17982692301372616,0.15250000000000008,NaN,NaN,NaN,NaN,NaN,NaN
"1969-03-31",1.108059244241777,-42.96044018945486,0.35245979699682906,1.0022302961889995,1.104678452655783,1.6425,0.6319669713644727,2.4311818115961503,0.3174999999999999,NaN,NaN,-0.5521490785155264,0.5141506892407666,0.14749999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1969-06-30",-0.19855390065490752,-42.86741651455551,0.28863579804118134,1.3131336609317756,1.1966927021731522,2.0825,0.13346657667263617,-0.18500935435039612,0.36250000000000004,NaN,NaN,-0.776030975928345,0.17107127559818913,0.1875,NaN,NaN,NaN,NaN,NaN,NaN
"1969-09-30",0.12113995404381406,-42.91545789716014,0.36478157174876236,1.41519406157129,1.1557183162913987,2.245,-0.19623060474389664,0.4412299414609633,0.39250000000000007,NaN,NaN,-0.47892952665298255,0.23219209008362718,0.1775,NaN,NaN,NaN,NaN,NaN,NaN
